Example	Website or web page giving email address	Xtal,Rxn,QM,MD,Cheminf,Viewer,Draw,Dock	New Category	Open Source/Freeware/Free for Academics/Shareware/Commercial	OS License Type	Description that contains full sentences.	Comments
OpenChrom	http://www.openchrom.net	MS	Spectroscopy	Open Source	Eclipse Public License, Java	OpenChrom is a cross-platform GUI for chromatography and mass spectrometry. It is able to import binary and textual chromatographic data files, such as *.D chromatograms from Agilent Technologies or NetCDF. A basic set of methods to detect baselines, peaks and to integrate peaks in a chromatogram are implemented. Preprocessing steps, e.g. To remove certain mass fragments (m/z) such as nitrogen (28) or water (18), are supported by applying filters on the chromatogram or mass spectrum. Extensions are welcome, as OpenChrom is open source and uses a flexible approach, which allows others to implement their own methods, algorithms, filters, detectors or integrators.	
open enventory	http://www.open-enventory.de/	Cheminf		Open Source	AGPL, (Javascript, PHP)	open enventory is an integrated laboratory journal and inventory program. It is a web application that runs in your browser. Automatic acquisition of freely accessible data from online databases makes manual data acquisition and catalogue searches obsolete, and price surveys can be done with a mouseclick. The laboratory journal uses the information available in the inventory database and makes the data available for all members of a workgroup. Both inventory and laboratory journal have the ability to allow data exchange between workgroups.	
OpenMol	http://www.mpa-garching.mpg.de/~opmolsrv/OpenMol/index.html	QM		Free for academics		OpenMol is a quantum chemical software package: it is an integrated program for electronic structure and property calculations of molecules. User guidance, the evaluation and interpretation of results and computer based learning are the three unique features of OpenMol that distinguish it from all other programs in the field. The concept of OpenMol is based on the fundamental ideas of two software concepts, the (rule based) expert system and the abstract data type model.	
OpenMX	http://www.openmx-square.org/	QM	Materials	Open Source	GPL, C	OpenMX (Open source package for Material eXplorer) is a program for nano-scale material simulations, which is designed for the realization of large-scale ab initio calculations based on a density functional theory (DFT) , norm-conserving pseudopotentials, and pseudo atomic localized basis functions.	
OpenThermo	http://openthermo.sourceforge.net		Thermodynamics	Open Source	GPL, C++	OpenThermo is a program package for statistical thermodynamics computations beyond rigid rotor harmonic oscillator approximation (RRHOA), with taking into account internal rotations and vibration anharmonicity. In contrast to statistical subprograms integrated to QC packages, OpenThermo is designed to make the calculation transparent to user and give maximum control under the choice of used theories and approximations.	
ORAC	http://www.chim.unifi.it/orac/	MD		Open Source	GPL, Fortran	ORAC is a molecular dynamics program for running classical simulations of solvated biomolecules. Simulations can be carried out in the NVE, NPT, NHP, and NVT thermodynamic ensembles using multiple time steps integrators. Electrostatic interactions may be handled through the Smooth Particle Mesh Ewald method.	
Orbdraw	http://www.serenasoft.com/orbdraw.html	QM, Viewer		Commercial		Orbdraw is a visualization program for displaying molecular orbital and electron density data from Gaussian, Gamess, Jaguar, Hondo, Mopac or Ampac calculations. Orbdraw can display the molecular orbitals, electron densities or spin densities in 3D as either wire frames or solid surfaces and can map orbitals or charges onto the density surfaces.	
ORCA	http://ewww.mpi-muelheim.mpg.de/bac/logins/downloads_en.php	QM		Free for academics		The program ORCA is a modern electronic structure program package with specific emphasis on spectroscopic properties of open-shell molecules. It features a wide variety of standard quantum chemical methods ranging from semiempirical methods to DFT to correlated ab initio methods. It can also treat environmental and relativistic effects.	
ORTEP	http://www.ornl.gov/sci/ortep/ortep.html	Xtal		Freeware		ORTEP (Oak Ridge Thermal Ellipsoid Plot) is a program for drawing crystal structure illustrations. Ball-and-stick type illustrations of a quality suitable for publication are produced with either spheres or thermal-motion probability ellipsoin probability ellipsoids, derived from anisotropic temperature factor parameters, on the atomic sites. There is also a Linux-specific <a href=http://ruby.chemie.uni-freiburg.de/~martin/ortep/ortep.html>Linux ORTEP page</a>.	
OS-ELN	http://www.opensourceeln.org/Members/webmaster/core/front.txt		Electronic Lab Notebook	Freeware		OS-ELN (Open Source Electronic Lab Notebook) will be of particular interest to Universities and Colleges needing a simple, low-cost ELN to be used by their students in classes. The system is easily and cost effectively deployed, and can be expanded and modified as needed.	May or may not be open source -- available under Amphora Public Source License, which seems to be pretty restrictive.
OSET	http://ivan.tubert.org/caos/	Rxn, Education		Open Source	GPL, Java	OSET (Organic Synthesis Exploration Tool) is a computer-assisted organic synthesis (CAOS) program for the retrosynthetic analysis of target molecules. Intended for educational use, as a tool for learning chemical synthetic design at undergraduate organic chemistry courses.	
OVITO	http://www.ovito.org/	Viewer, MD	Materials	Open Source	GPL, C++	OVITO (Open Visualization Tool) allows  the analysis and visualization of large-scale atomistic datasets produced by molecular dynamics/statics and Monte-Carlo simulation codes.	
Packmol	http://www.ime.unicamp.br/~martinez/packmol/	MD		Freeware		Packmol creates an initial point for molecular dynamics simulations by packing molecules in defined regions of space. The packing guarantees that short range repulsive interactions do not disrupt the simulations. The great variety of types of spatial constraints that can be attributed to the molecules, or atoms within the molecules, makes it easy to create ordered systems, such as lamellar, spherical or tubular lipid layers.	
PaDEL-Descriptor	http://padel.nus.edu.sg/software/padeldescriptor/index.html	Cheminf	QSAR	Open Source	GPL, Java	PaDEL-Descriptor is a GUI for calculating molecular descriptors and fingerprints. The software currently calculates 856 descriptors (722 1D, 2D descriptors and 134 3D descriptors) and 10 types of fingerprints. The descriptors and fingerprints are calculated using the Chemistry Development Kit with some additional descriptors and fingerprints. These additions include atom type electrotopological state descriptors, extended topochemical atom (ETA) descriptors, McGowan volume, molecular linear free energy relation descriptors, ring counts, count of chemical substructures identified by Laggner, and binary fingerprints and count of chemical substructures identified by Klekota and Roth.	
Pallas	http://www.compudrug.com/	Cheminf		Commercial		The Pallas suite includes software for predicting pKa (pKalc), logP (PrologP), logD (PrologD), toxicity values (HazardExprt) and metabolitic fate (MetabolExpert) based on structural formula of compounds.	
Pcmodel	http://www.serenasoft.com	QM, Viewer		Commercial		Pcmodel is a molecular modeling package with interfaces to many quantum chemistry packages. It also includes support for geometry optimisation with various force fields as well as conformational searching.	
PDBCat	http://www.ks.uiuc.edu/Development/MDTools/pdbcat/	Cheminf		Open Source	University of Illinois Open Source License, C	PDBCat can be used to manipulate and process PDB files using commonly available tools such as Perl, awk, etc.	
pDynamo	http://www.pdynamo.org	MD, MM, QM		Open Source	CeCILL, (C, Python)	pDynamo is an open source program library that has been designed for the simulation of molecular systems using quantum chemical (QC), molecular mechanical (MM) and hybrid QC/MM potential energy functions.	
Perl Chemistry Modules	http://search.cpan.org/search?m=all&q=chemistry&s=11	Cheminf, Viewer		Open Source	Artistic License, Perl	Perl extensions for working with chemical information, for example SMILES strings, molecular file formats, creation of VRML files, conversion to internal coordinates. See also PerlMol.	Do Perlmol
PINY_MD	http://homepages.nyu.edu/~mt33/PINY_MD/PINY.html	MD, QM		Open Source	Common Public License, C	PINY_MD is capable of performing a wide variety of molecular dynamics, electronic structure, and geometry optimization calculations. Such capabilities include force-field based simulations on system ranging in complexity from simple molecular liquids and crystals to large biomolecular systems. In addition, PINY_MD can perform  ab initio  molecular dynamics and geometry optimization using plane-wave based generalized gradient (GGA) density functional based representations of the electronic structure combined with the Car-Parrinello propagation scheme.	
PLATON	http://www.cryst.chem.uu.nl/platon/	Xtal		Free for academics		PLATON is a versatile SHELX97 compatible multipurpose crystallographic tool. Most PLATON features complement those available in the excellent and widely distributed SHELX97 package for crystal structure determination and refinement.	
POLYRATE	http://comp.chem.umn.edu/polyrate/	Rxn		Freeware		POLYRATE is a computer program for the calculation of chemical reaction rates of polyatomic species (and also atoms and diatoms as special cases).	
PovChem	http://www.chemicalgraphics.com/PovChem/	Viewer		Freeware		PovChem is a chemical visualisation and illustration program with a graphic interface. It takes molecules in the PDB format, lets you to set up a picture with fine control over details of the illustration, then exports the picture in POV-Ray format (high-quality images).	
PQS Ab Initio Module	http://www.pqs-chem.com/software.shtml	QM		Commercial		PQS (Parallel Quantum Solutions) Ab Initio Module is a comprehensive program for electronic structure calculations. All major ab initio functionality is fully parallel.	
ProtoFit	http://protofit.sourceforge.net/			Open Source	GPL, (Fortran, Tcl)	ProtoFit is a tool for optimization of surface protonation models from acid-base titration data. Although ProtoFit is designed with the analysis of the proton buffering behavior of surfaces in mind, it can be used equally well for other substances such as a dissolved acids that reversibly exchanges protons with water.	
PWscf	http://www.pwscf.org/	QM		Open Source	GPL, Fortran	PWscf (Plane-Wave Self-Consistent Field) is a set of programs for electronic structure calculations within Density-Functional Theory and Density-Functional Perturbation Theory, using a Plane-Wave basis set and pseudopotentials.	Does it work for molecules?
PyDespike	http://pydespike.sourceforge.net/		Raman, Spectra	Open Source	GPL, Python	PyDespike is a program to graphically process (ie. despike) Raman and other spectroscopic data. It reduces the tedium involved in removing spikes in data due to artificial background fluctuations.	
PyMOL	http://pymol.sourceforge.net/	Viewer		Open Source	Python License, (C, Lua, Python, Tcl)	PyMOL is a molecular graphics system with an embedded Python interpreter designed for real-time visualization and rapid generation of high-quality molecular graphics images and animations. It can also perform many other valuable tasks (such as editing PDB files) to assist you in your research.	
PyQuante	http://pyquante.sourceforge.net/	QM		Open Source	BSD, (Python, C)	PyQuante is an open source suite of programs for developing quantum chemistry methods, written in the Python programming language, but with many rate-determining modules written in C for speed. The resulting code is easy to understand and modify, providing a well-engineered set of tools so that scientists can construct their own quantum chemistry programs without going through the tedium of having to write every low-level routine.	
PyVib2	http://pyvib2.sf.net/	QM		Open Source	GPL, Python	PyVib2 is a program for analyzing vibrational motion and vibrational spectra, written in pure Python. PyVib2 permits the automatic correlation of vibrational motions of molecules thereby allowing an understanding of Raman, Raman optical activity (ROA), infrared vibrational absorption (IR), and vibrational circular dichroism (VCD) spectra. Features include a Versatile representation of vibrational motions, visualization of Raman/ROA and IR/VCD generation in molecules and the production of publication quality spectra. It currently supports DALTON and Gaussian output files.	
Q-Chem	http://www.q-chem.com/	QM		Commercial		Q-Chem is a modern ab initio quantum chemistry software package capable of analyzing large structures in practical amounts of time without compromising accuracy.	
QikProp	http://www.schrodinger.com/ProductDescription.php?mID=6&sID=10&cID=0	Cheminf		Commercial		QikProp provides rapid predictions for physically-significant descriptors and pharmaceutically-relevant properties of neutral organic molecules. Accurate predictions are made for free energies of solvation in hexadecane, octanol, and water, octanol/water partition coefficient (log P), aqueous solubility (log S), and Caco-2 cell permeabilty. Results for libraries of compounds are output in a format ready for facile incorporation into spreadsheet and QSAR programs.	
QMForge	http://qmforge.sourceforge.net/	QM, Viewer		Open Source	GPL, Python	QMForge is a program to analyze the results of quantum chemistry (DFT) calculations: Gaussian 98/03, ADF, GAMESS (US), GAMESS (UK), and PC-GAMESS files are supported. The following analyses are available for user-defined molecular fragments: Mulliken, C-squared and Overlap Population analyses, Fragment and Charge Decomposition Analyses.	
qmol	http://sourceforge.net/projects/qmol/		Utility	Open Source	GPL, C++	qmol is a simple molecular weight calculator, available for Linux and Windows. You can enter a formula, (e.g. CH3(CH2)2OH) and get its molecular weight (60.0959 g/mol) and its elemental composition (C3H8O: C 59.96; H 13.42; O 26.62 %).	
QSite	http://www.schrodinger.com/ProductDescription.php?mID=6&sID=5&cID=0	QM		Commercial		QSite is a mixed mode QM/MM program for energy calculations of protein-ligand interactions in the active site.	
QTree	http://www.bioinf.org.uk/software/qtree/index.html	Viewer		Freeware		QTree is a program for generating CPK, Ball and Stick and worms pictures of molecules using the quad-tree algorithm. This is a relatively fast method of generating near-photographic quality images though it does not generate shadows. A sense of depth is provided by darkening atoms farther away from the viewer.	
Quantum	http://www.q-pharm.com/	QM, Dock		Commercial		Quantum is a pure physics based molecular docking software which calculates Kd of a protein-ligand complex, and ligand position in the protein active site. This enables virtual screening of compound libraries. The calculation takes into account metals and other hetatoms in the protein active site as well as protein flexibility.	
QuteMol	http://qutemol.sourceforge.net/	Viewer		Open Source	GPL, C++	QuteMol is an open source (GPL), interactive, high quality molecular visualization system that aims to improve clarity and provide an easier understanding of the 3D shape and structure of large molecules or complex proteins. Its features include real time ambient occlusion, depth-aware silhouette enhancement, and automatic generation of animated gifs of rotating molecules for web page animations.	
RasMol	http://www.openrasmol.org	Viewer		Open Source	GPL, C	RasMol is a molecular graphics program intended for the visualisation of proteins, nucleic acids and small molecules. The program is aimed at display, teaching and generation of publication quality images.	
RasMol-UCB	http://mc2.cchem.berkeley.edu/Rasmol/	Viewer		Freeware		UCB-Enhanced Rasmol is based on Rasmol 2.6 with enhancements added. These enhancements include: multiple molecules can be viewed, part of a molecule can be rotated around a bond, distances/angles can be measured and the labels displayed.	
Raster3D	http://www.bmsc.washington.edu/raster3d/raster3d.html	Viewer		Freeware		Raster3D is a set of tools for generating high quality raster images of proteins or other molecules. The core program renders spheres, triangles, cylinders, and quadric surfaces with specular highlighting, Phong shading, and shadowing.	
Rave	http://xray.bmc.uu.se/usf/rave.html	Xtal		Free for academics		Rave is a suite of programs for single and multiple domain, single and multiple crystal real-space electron-density averaging. It also contains tools for the detection of secondary structure elements in macromolecular electron-density maps.	
RedMD	http://bionano.icm.edu.pl/software/	MD		Open Source	GPL, (C, C++)	RedMD (Reduced Molecular Dynamics) is an open source package for molecular dynamics simulations and normal mode analysis for coarse-grained models of proteins and nucleic acids. Force fields are based on one-bead elastic network models and their extensions. The code is written in C/C++ and is parallelized.	
RM1	http://www.rm1.sparkle.pro.br/	QM		Open Source		RM1 (Recife Model 1) is a reparameterisation of AM1 for H, C, N, O, P, S, F, Cl, Br, and I. It is distributed as an external file for recent versions of MOPAC, as the default model for a modified version of the public domain MOPAC, and also can be implemented in HyperChem.	really Open (not Open Source)
RnaViz	http://rnaviz.sourceforge.net	Viewer		Open Source	GPL, (C, Tcl)	RnaViz is a user-friendly, portable, windows-type program for producing publication-quality secondary structure drawings of RNA molecules. Drawings can be created starting from DCSE alignment files if they incorporate structure information or from mfold ct files.	Struct bio?
SCHAKAL	http://www.krist.uni-freiburg.de/ki/Mitarbeiter/Keller/schakal.html	Viewer		Open Source	Public Domain, Fortran	SCHAKAL is a FORTRAN program for the graphical representation of molecular and solid-state models.	
SCORE	http://mdl.ipc.pku.edu.cn/drug_design/work/score.html	Dock		Freeware		SCORE is an empirical method for estimating the binding affinity of a protein-ligand complex with known 3D structure. SCORE uses a linear equation to describe the binding energy changes upon the binding process, which includes terms accounting for hydrogen-bonding, hydrophobic effect, and deformation effect.	
SHELX	http://shelx.uni-ac.gwdg.de/SHELX/	Xtal		Free for academics		SHELX is a set of programs for crystal structure determination from single-crystal diffraction data.	
SHELX-to-ORTEP	http://ruby.chemie.uni-freiburg.de/~martin/ortep/ortep.html	Xtal		Freeware		SHELX-to-ORTEP converts SHELX output files to ORTEP format.	
Siam Quantum	http://www.physics.kku.ac.th/sq/			Open Source	GPL, C	Siam Quantum is an ab initio quantum chemistry program that uses quantum mechanics to determine the total energy and wave function of molecules within the framework of the Hartee-Fock method. The source code and documentation was originally designed to introduce students to electronic structure calculations. It can perform geometry optimisation and simple population analysis. Further developments are ongoing.	
SIMPSON	http://bionmr.chem.au.dk/bionmr/software/simpson.php	NMR		Open Source	GPL, C	SIMPSON is a General Simulation Program for Solid-State NMR. It features multi-pulse 1D/2D experiments on large spin-systems with input-files implemented using a simple scripting language. The program is designed to emulate a NMR spectrometer by letting the user specify high-level NMR concepts such as spin systems, nuclear spin interactions, rf irradiation, free precession, phase cycling, coherence-order filtering, and implicit/explicit acquisition.	
SIMREF	http://www.uni-tuebingen.de/uni/pki/simref/simref.html	Xtal		Freeware		simref is a structure refinement program for the simultaneous evaluation of several powder diffraction data sets and multiple phases per data set. With a structural model all calculated diffraction profiles are fitted to the corresponding observed diffraction profile by the method of least squares. This procedure is called Rietveld method (Rietveld, 1969 ). By the simultaneous refinement of several data sets new evaluation techniques are possible.	
SimSoup	http://www.simsoup.info/SimSoup.htm	Rxn		Open Source	GPL, C++	SimSoup is is a graphical artificial chemistry simulator. The program enables a chemistry to be defined in terms of molecule types and the possible interactions between them. A simulation run involves setting up a number of molecules of various molecule types in a reactor, and then allowing interactions to take place over a period of time.	
Simulaid	http://fulcrum.physbio.mssm.edu/~mezei/simulaid/	MD		Free for academics		Simulaid is a set of utilities to prepare molecular dynamics simulations. It features optimal solute placement, conversions between file formats and analysis of results.	
SIRware	http://www.ic.cnr.it/registration_form.php	Xtal		Free for academics		The SIRware suite includes SIR97 (Direct Method program for the resolution and refinement of crystal structures using single crystal data), SIR2002 (Direct Method program for the resolution of proteins using single crystal data; can be used also for resolution and refinement of small and medium size crystal structures) and SIR2004 (automatic solution of crystal structures by Direct and Patterson Methods; it can be used both for resolution and refinement of small/medium size crystal structures and for macromolecules with data up to 1.4-1.5 Ang.)	Need to update with info on EXPO and remove SIR2002
Situs	http://situs.biomachina.org/	Xtal, Viewer, Dock		Open Source	GPL, C	Situs is an award-winning program package for the modeling of atomic resolution structures into low-resolution density maps e.g. from electron microscopy, tomography, or small angle X-ray scattering. The software supports both rigid-body and flexible docking using a variety of fitting strategies.	
SketchEl	http://sketchel.sourceforge.net/	Draw		Open Source	GPL, Java	SketchEl is an interactive chemical molecule sketching tool, designed for quick and simple entry of structures. The feature set is limited to those necessary to enter a single chemical species, in a form that might be used in a cheminformatic database, representing each atom and bond as a part of a labelled graph.	
SnB	http://www.hwi.buffalo.edu/SnB/	Xtal		Free for academics		SnB is a program based on the Shake-and-Bake algorithm, a dual-space direct-methods procedure for determining crystal structures from X-ray diffraction data.	
SNF	http://www.theochem.ethz.ch/software/snf	QM		Open Source	GPL, (Fortran, C)	SNF has been developed for the calculation of Infrared, Raman, and VROA spectra using the harmonic approximation for the frequencies and the double harmonic approximation for the intensities. Vibrational frequencies are determined using numerical differentiation of analytical gradients of the total electronic energy, while infrared, Raman, and VROA intensities are obtained by numerical differentiation of dipole moments and (generalized) polarizability tensor components with respect to nuclear coordinates. Single point calculations are carried out using ADF, Dalton, Gaussian, Molpro or Turbomole.	
SODIUM	http://www.ks.uiuc.edu/Development/MDTools/sodium/	MD		Free for academics		SODIUM can be used to arrange ions around biological macromolecules.	
Sparkle/AM1	http://www.sparkle.pro.br/	QM		Freeware		Sparkle/AM1 is a computational chemistry model which exploits the lanthanide series characteristics to accurately predict geometries of the coordination polyhedra of complexes of ions of the rare earth metals. It is distributed as an external file for MOPAC 93r2, and as the default model for a modified version of the public domain MOPAC 6.	
Sparky	http://www.cgl.ucsf.edu/home/sparky/	NMR		Freeware		Sparky is a graphical NMR assignment and integration program for proteins, nucleic acids, and other polymers.	Seems to work also for any type of molecule - maybe email and ask is it only for biology
Spartan	http://www.wavefun.com/products/spartan.html	QM		Commercial		Spartan is Wavefunction's flagship modeling software. It combines the versatility of Wavefunction's famous user interface and the power of Q-Chem's computational tools. It can carry out molecular mechanics, semi-empirical, ab initio Hartree Fock, DFT, Moller-Plesset, advanced correlated and excited state calculations. Available as a server or as a workstation edition.	
SPIN	http://www.sfu.ca/~gay/	NMR		Freeware		SPIN calculates NMR spectra for systems of up to 9 spin 1/2 nuclei, given chemical shifts and coupling constants as inputs.	
spock	http://quorum.tamu.edu/	Viewer		Commercial		Spock is a molecular visualisation program which can display and manipulate atoms, bonds, hydrogen bonds, solid and surfaces, CA traces, electrostatic potential contours, backbone worms, and even electron density maps. Spock can also be used for real-time conferencing over the internet. Spock is free for use in academic courses and for academics without sufficient funding.	
SPROUT	http://www.simbiosys.ca/sprout/index.html	Cheminf		Commercial		SPROUT is a de-novo ligand design system for developing novel active lead compounds. SynSPROUT uses synthetic rules to join fragments, and SPROUT-LeadOpt is designed for lead optimization.	
SSIA	http://spin.niddk.nih.gov/bax/software/SSIA/index.html	NMR		Freeware		SSIA is a program for predicting the magnitude and orientation of a sterically induced alignment tensor from a solute's (protein or DNA/RNA) three-dimensional shape.	
Steric	http://hobbes.gh.wits.ac.za/craig/steric/			Open Source	GPL Compatible, C	Steric calculates the steric size of molecules about a point in terms of their cone angles and solid angles, as well as their total volumes and projected areas.	
Swiss-PdbViewer	http://www.expasy.org/spdbv/	Viewer		Freeware		Swiss-PdbViewer is an application that provides a user friendly interface allowing to analyse several proteins at the same time. The proteins can be superimposed in order to deduce structural alignments and compare their active sites or any other relevant parts. Amino acid mutations, H-bonds, angles and distances between atoms are easy to obtain thanks to the intuitive graphic and menu interface.	
Symmetry	http://www.cobalt.chem.ucalgary.ca/ps/symmetry/		Symmetry	Open Source	GPL, C	Symmetry is a set of C codes for automatic molecular symmetry recognition. Nothing fancy, but can be of use as an analytical or educational tool.	
Tessel	http://web.uniovi.es/qcg/tessel/tessel.html	Viewer		Open Source	GPL Compatible, Fortran	Tessel2 is a 3D compiler to produce crystal and molecular models, parametric surfaces and several forms of sphere tesselations. The program produces output to be rendered with POV-Ray 2 or 3, Geomview (OFF format), or any Virtual Reality renderer (VRML V1.0 format).	
Thermo-Calc	http://www.thermocalc.com	Thermo		Commercial		Powerful and flexible software for all kinds of thermodynamic calculations in multicomponent systems. It is widely used to calculate phase diagrams, thermochemical data, solidification simulations and Pourbaix diagrams.	
Tinker	http://dasher.wustl.edu/tinker/	MD		Freeware		Tinker is a complete and general package for MM/MD, with some special features for polypeptides. TINKER has the ability to use any of several common parameter sets, such as AMBER, CHARMM, MM2, MM3, OPLS, and our own AMOEBA force field based upon polarizable atomic multipole electrostatics.	Force Field Explorer link
Triton	http://ncbr.chemi.muni.cz/triton/	QM	Protein reactions	Free for academics		Triton is a graphical tool for modelling protein mutants (using the external program MODELLER) and assessment of their activities (using the external program MOPAC). Semi-quantitative predictions of mutants' activities can be achieved by evaluating the changes in energies of the system and partial atomic charges of the active site residues during the reaction.	
Turbomole	http://www.turbomole.com	QM		Commercial		TURBOMOLE is a program package for ab initio electronic structure calculations. Outstanding features of TURBOMOLE are: semi-direct algorithms with adjustable main memory and disk space requirements; full use of all point groups; efficient integral evaluation; stable and accurate grids for numerical integration.	
&quot;Understanding Molecular Simulations&quot;	http://molsim.chem.uva.nl/frenkel_smit/README.html	MD		Freeware		The FORTRAN source code of the Case Studies of the book Understanding Molecular Simulations.	
VAMP	http://www.accelrys.com/products/mstudio/modeling/quantumandcatalysis/vamp.html	QM		Commercial		Semiempirical program package containingthe MINDO3, MNDO, MNDOC, AM1 and PM3 Hamiltonian. It is capable of performing geometry optimisations as well as transition state searches and provides some extended multi center charge models (NAO-PC, HO-PC, LMO-PC); additionally, it may be used for some QM/MM calculations.	
VASP	http://cms.mpi.univie.ac.at/vasp/	QM,MD		Commercial		Package for performing ab-initio quantum-mechanical MD using pseudopotentials and a plane wave basis set. The approach implemented in VAMP/VASP is based on a finite-temperature local-density approximation (with the free energy as variational quantity) and an exact evaluation of the instantaneous electronic ground state at each MD-step using efficient matrix diagonalization schemes and an efficient Pulay mixing.	
VASP Data Viewer	http://vaspview.sourceforge.net/	Viewer, QM		Open Source	GPL, C	VASP Data Viewer is a visualization program for examining output files generated by the quantum chemistry package VASP.	
VB2000	http://www.scinetec.com/	QM		Free for academics		VB2000 is an ab initio electronic structure package for performing modern Valence Bond (VB) calculations based on a highly efficient VB algorithm - the so called Algebrant Algorithm. It has also a general implementation of the Group Function (GF) Theory, in which a large molecule is described in terms of its constituent parts of physically identifiable "electron groups". It can be used as a stand-alone program, or as a plug-in module for GAMESS and Gaussian.	
VEGA	http://www.ddl.unimi.it/vega/index2.htm	Viewer, QM, MD		Open Source	GPL Compatible, C	VEGA was developed to create a bridge between most of the molecular software packages, like BioDock, Quanta/CHARMm, Insight II, MoPac, etc. In this tool have been also implemented some features that are useful to analyze, display and manage the 3D structures of molecules.	VEGA ZZ currently only available for windows
Vibrate	http://www.serenasoft.com/vibrate.html	Viewer, QM		Commercial		Vibrate is a program for visualizing the normal vibrational modes of a molecule. Vibrate can read files generated by Mopac, Gaussian (G92 and G94), and HONDO and display the computed vibrational spectrum.	
Viewmol	http://viewmol.sourceforge.net/	Viewer, QM		Open Source	GPL, (C, Python)	Viewmol is an open source graphical front end for computational chemistry programs. It can be used to build molecules, trace a geometry optimisation or MD trajectory, show vibrations, draw IR or Raman spectra, MO energy diagrams, and much more.	Embedded Python interpreter for automation
VMD	http://www.ks.uiuc.edu/Research/vmd/	Viewer, MD, QM		Free for academics		VMD is a program for visualization and analysis of the results of computational chemistry and molecular dynamics calculations. It can be used to animate and analyze the trajectory of a molecular dynamics (MD) simulation.	Python scripting
VolSurf	http://www.moldiscovery.com/soft_volsurf.php	Cheminf		Commercial		VolSurf is a computational procedure to produce 2D molecular descriptors from 3D molecular interaction energy grid maps. The basic idea of VolSurf is to compress the information present in 3D maps into a few 2D numerical descriptors which are very simple to understand and to interpret.	
Wat2ions	http://www.ks.uiuc.edu/Development/MDTools/wat2ions/	MD	Utility	Free for academics		Wat2ions uses the electrostatic potential map pre-computed by DelPhi to replace a certain number of the water molecules of the bath, surrounding a solvated macromolecule, with ions. The new coordinates are output to a PDB file.	
WebMO	http://www.webmo.net	QM,Viewer		Freeware		WebMO is a WWW-based interface to Gamess, Gausssian, Molpro, Mopac, Nwchem, Qchem, and Tinker for setting up, submitting, and visualizing results of computational chemistry jobs.	WebPRO is a commercial version with additional features
WebMol	http://www.cmpharm.ucsf.edu/~walther/webmol.html	Viewer		Free for academics		WebMol is a Java-based PDB Viewer which can run as an applet in a web browser.	
WHAT IF	http://www.cmbi.kun.nl/whatif/	Viewer, MD, Xtal		Commercial		WHAT IF is a versatile protein structure analysis program that can be used for mutant prediction, structure verification, molecular graphics, displaying the results of GROMACS calculations, analyse electron density maps, and much more.	Just for proteins?
WIEN2k	http://www.wien2k.at/	QM		Commercial		WIEN2k allows the user to perform electronic structure calculations of solids using density functional theory (DFT). It is based on the full-potential (linearized) augmented plane-wave ((L)APW) + local orbitals (lo) method, one of the most accurate schemes for band structure calculations.	Only for solids...is this chemistry?
WODCA	http://www2.chemie.uni-erlangen.de/software/wodca/	Rxn		Commercial		WODCA (World of Computer Assisted Synthesis Planning or Workbench for the Organization of Data for Chemical Applications) is a computer program for the interactive planning of organic syntheses, in particular, for the planning of organic syntheses in a retrosynthetic approach. Built-in catalogs of fine chemicals like those from Acros Organics or Fluka Chemical Company provide suitable starting materials for a synthesis target.	
XChemEdit	http://www.cemcomco.com/ChemEdit_Distribution1074.html	Viewer, QM		Commercial		XChemEdit is a package of programs which can draw and edit three-dimensional chemical structures; serve as a graphical interface to the GAUSSIAN, JAGUAR, MOPAC, and BOSS/MCPRO programs; display molecular orbitals, electron densities, and electrostatic potentials; animate normal mode vibrations; and compute solvent-accessible surface area, volume, and thermochemical properties.	
XCombust	http://www.oci.unizh.ch/group.pages/hesse/xmolcalc/xcombust.html		Utility	Freeware		Who in chemistry never experienced the following: You get your sample back from the analytical department and look shyly at the elemental analysis data - and they are way off. So what usually happens is that one tries to make the numbers fit by postulating solvent inclusion (like 1 mol of EtOH) and then get stressed out with a desktop calculator. That's where this tiny shiny utility comes into play.	
XCrySDen	http://www.xcrysden.org/	Viewer, Xtal		Open Source	GPL, (Fortran, C)	XCrySDens (Crystalline Structures and Density) is a crystalline and molecular structure visualisation program, which can superimpose isosurfaces and contours onto crystalline structures and interactively rotate and manipulate them. XCrySDens also provides a (partial) graphical user interface for CRYSTAL, and a visualisation system for PWscf and WIEN2k.	
XDrawChem	http://xdrawchem.sourceforge.net/	Draw		Open Source	GPL, (Fortran, C++)	XDrawChem is 2D molecule drawing program. Some notable features include the ability to retrieve structures from a network database given the name or CAS number; it can predict predict proton and C13 NMR shifts; and it can interface with OpenBabel to read and write multiple file formats.	
XEASY	http://hugin.ethz.ch/wuthrich/software/xeasy/	NMR		Commercial		XEASY is a program to display and assign 2D, 3D, and 4D NMR spectra.	Maybe not on Linux, but certainly on Unix
xem	http://www.linux-france.org/prj/xem/	Education		Open Source	GPL, C++	xem is a simple software simulating titration for various systems.	
XLOGP/PLOGP	http://inka.mssm.edu/docs/molmod/xlogp/	Cheminf		Freeware		Method which can calculate the logP value for an organic compound from its topological structure. The algorithm is based on the summation of atomic contributions and correction factors.	
XMakemol	http://www.nongnu.org/xmakemol/	Viewer		Open Source	GPL, C++	XMakemol is a mouse-based program, written using the LessTif widget set, for viewing and manipulating atomic and other chemical systems. It reads XYZ input and renders atoms, bonds and hydrogen bonds.	
